group,model_type,model_name,parameter,estimate_and_95ci
healthcare_worker,Cox,pt,ps(age10)10,2.16 (0.38-12.23)
healthcare_worker,Cox,pt,ps(age10)11,2.45 (0.43-13.99)
healthcare_worker,Cox,pt,ps(age10)12,2.64 (0.46-15.17)
healthcare_worker,Cox,pt,ps(age10)13,2.78 (0.46-16.79)
healthcare_worker,Cox,pt,ps(age10)14,2.90 (0.42-20.12)
healthcare_worker,Cox,pt,male,1.47 (1.10-1.96)
healthcare_worker,Cox,pt,rolepf_any,3.06 (1.73-5.43)
healthcare_worker,Cox,pt,roleundetermined,1.60 (0.96-2.69)
healthcare_worker,Cox,pt,white,1.21 (0.57-2.59)
healthcare_worker,Cox,pt,simd,0.83 (0.75-0.91)
healthcare_worker,Cox,pt,como_count,1.23 (1.03-1.46)
healthcare_worker,Cox,pt,t2dm,2.05 (1.21-3.46)
healthcare_worker,Cox,pt,nurs_med_ahp,1.13 (0.74-1.74)
healthcare_worker,Cox,pt,part_timep,0.75 (0.56-1.00)
healthcare_worker,Cox,pt,part_timegeneral practice,0.44 (0.16-1.18)
healthcare_worker,Cox,immigration,ps(age10)3,0.82 (0.49-1.40)
healthcare_worker,Cox,immigration,ps(age10)4,0.68 (0.23-1.95)
healthcare_worker,Cox,immigration,ps(age10)5,0.59 (0.12-2.77)
healthcare_worker,Cox,immigration,ps(age10)6,0.66 (0.11-4.02)
healthcare_worker,Cox,immigration,ps(age10)7,0.94 (0.15-5.90)
healthcare_worker,Cox,immigration,ps(age10)8,1.49 (0.25-8.87)
healthcare_worker,Cox,immigration,ps(age10)9,1.96 (0.35-11.14)
healthcare_worker,Cox,immigration,ps(age10)10,2.10 (0.37-11.75)
healthcare_worker,Cox,immigration,ps(age10)11,2.38 (0.42-13.39)
healthcare_worker,Cox,immigration,ps(age10)12,2.55 (0.45-14.49)
healthcare_worker,Cox,immigration,ps(age10)13,2.69 (0.45-16.09)
healthcare_worker,Cox,immigration,ps(age10)14,2.82 (0.41-19.36)
healthcare_worker,Cox,immigration,male,1.42 (1.06-1.91)
healthcare_worker,Cox,immigration,rolepf_any,3.09 (1.74-5.48)
healthcare_worker,Cox,immigration,roleundetermined,1.60 (0.96-2.69)
healthcare_worker,Cox,immigration,simd,0.82 (0.74-0.90)
healthcare_worker,Cox,immigration,como_count,1.24 (1.04-1.47)
healthcare_worker,Cox,immigration,t2dm,2.00 (1.18-3.37)
healthcare_worker,Cox,immigration,nurs_med_ahp,1.11 (0.72-1.71)
healthcare_worker,Cox,immigration,part_timep,0.74 (0.56-1.00)
healthcare_worker,Cox,immigration,part_timegeneral practice,
healthcare_worker,Cox,immigration,immigration,2.27 (0.73-7.11)
healthcare_worker,Cox,ageroleinter,ps(age10)3,0.88 (0.51-1.50)
healthcare_worker,Cox,ageroleinter,ps(age10)4,0.77 (0.26-2.25)
healthcare_worker,Cox,ageroleinter,ps(age10)5,0.72 (0.15-3.44)
healthcare_worker,Cox,ageroleinter,ps(age10)6,0.88 (0.14-5.46)
healthcare_worker,Cox,ageroleinter,ps(age10)7,1.37 (0.21-9.10)
healthcare_worker,Cox,ageroleinter,ps(age10)8,2.27 (0.34-15.20)
healthcare_worker,Cox,ageroleinter,ps(age10)9,3.04 (0.45-20.57)
healthcare_worker,Cox,ageroleinter,ps(age10)10,3.35 (0.47-23.79)
healthcare_worker,Cox,ageroleinter,ps(age10)11,3.98 (0.52-30.32)
healthcare_worker,Cox,ageroleinter,ps(age10)12,4.45 (0.55-36.15)
healthcare_worker,Cox,ageroleinter,ps(age10)13,4.81 (0.53-43.73)
healthcare_worker,Cox,ageroleinter,ps(age10)14,5.18 (0.47-56.64)
healthcare_worker,Cox,ageroleinter,male,1.48 (1.11-1.98)
healthcare_worker,Cox,ageroleinter,rolepf_any,8.34 (0.65-107.64)
healthcare_worker,Cox,ageroleinter,roleundetermined,2.10 (0.11-40.94)
healthcare_worker,Cox,ageroleinter,white,1.21 (0.57-2.59)
healthcare_worker,Cox,ageroleinter,simd,0.83 (0.75-0.91)
healthcare_worker,Cox,ageroleinter,como_count,1.23 (1.03-1.46)
healthcare_worker,Cox,ageroleinter,t2dm,2.04 (1.21-3.46)
healthcare_worker,Cox,ageroleinter,nurs_med_ahp,1.13 (0.74-1.74)
healthcare_worker,Cox,ageroleinter,part_timep,0.75 (0.56-1.00)
healthcare_worker,Cox,ageroleinter,part_timegeneral practice,0.44 (0.16-1.17)
healthcare_worker,Cox,ageroleinter,rolenpf:age10,1.05 (0.60-1.86)
healthcare_worker,Cox,ageroleinter,rolepf_any:age10,0.87 (0.61-1.23)
healthcare_worker,Cox,ageroleinter,roleundetermined:age10,
healthcare_worker,Cox,sexroleinter,ps(age10)3,0.84 (0.49-1.42)
healthcare_worker,Cox,sexroleinter,ps(age10)4,0.70 (0.24-2.02)
healthcare_worker,Cox,sexroleinter,ps(age10)5,0.62 (0.13-2.93)
healthcare_worker,Cox,sexroleinter,ps(age10)6,0.72 (0.12-4.37)
healthcare_worker,Cox,sexroleinter,ps(age10)7,1.06 (0.17-6.64)
healthcare_worker,Cox,sexroleinter,ps(age10)8,1.66 (0.28-9.91)
healthcare_worker,Cox,sexroleinter,ps(age10)9,2.10 (0.37-12.02)
healthcare_worker,Cox,sexroleinter,ps(age10)10,2.21 (0.39-12.46)
healthcare_worker,Cox,sexroleinter,ps(age10)11,2.51 (0.44-14.23)
healthcare_worker,Cox,sexroleinter,ps(age10)12,2.69 (0.47-15.36)
healthcare_worker,Cox,sexroleinter,ps(age10)13,2.81 (0.47-16.96)
healthcare_worker,Cox,sexroleinter,ps(age10)14,2.94 (0.43-20.28)
healthcare_worker,Cox,sexroleinter,male,1.13 (0.42-3.05)
healthcare_worker,Cox,sexroleinter,rolepf_any,2.96 (1.55-5.66)
healthcare_worker,Cox,sexroleinter,roleundetermined,1.17 (0.61-2.26)
healthcare_worker,Cox,sexroleinter,white,1.20 (0.56-2.55)
healthcare_worker,Cox,sexroleinter,simd,0.83 (0.75-0.91)
healthcare_worker,Cox,sexroleinter,como_count,1.23 (1.03-1.46)
healthcare_worker,Cox,sexroleinter,t2dm,2.04 (1.21-3.46)
healthcare_worker,Cox,sexroleinter,nurs_med_ahp,1.14 (0.72-1.79)
healthcare_worker,Cox,sexroleinter,part_timep,0.75 (0.57-1.01)
healthcare_worker,Cox,sexroleinter,part_timegeneral practice,0.45 (0.17-1.21)
healthcare_worker,Cox,sexroleinter,male:rolepf_any,1.17 (0.41-3.34)
healthcare_worker,Cox,sexroleinter,male:roleundetermined,2.28 (0.70-7.47)
healthcare_worker,Cox,sexrolemale,ps(age10)3,2.85 (1.81-4.49)
healthcare_worker,Cox,sexrolemale,ps(age10)4,8.13 (3.28-20.14)
healthcare_worker,Cox,sexrolemale,ps(age10)5,22.86 (5.76-90.68)
healthcare_worker,Cox,sexrolemale,ps(age10)6,56.08 (7.76-405.18)
healthcare_worker,Cox,sexrolemale,ps(age10)7,118.86 (10.20-1384.81)
healthcare_worker,Cox,sexrolemale,ps(age10)8,218.31 (16.95-2811.59)
healthcare_worker,Cox,sexrolemale,ps(age10)9,255.84 (22.29-2937.00)
healthcare_worker,Cox,sexrolemale,ps(age10)10,202.06 (19.18-2128.91)
healthcare_worker,Cox,sexrolemale,ps(age10)11,207.21 (19.74-2175.31)
healthcare_worker,Cox,sexrolemale,ps(age10)12,250.44 (23.72-2643.78)
healthcare_worker,Cox,sexrolemale,ps(age10)13,347.01 (29.82-4037.78)
healthcare_worker,Cox,sexrolemale,ps(age10)14,510.15 (30.38-8567.58)
healthcare_worker,Cox,sexrolemale,rolepf_any,4.18 (1.49-11.70)
healthcare_worker,Cox,sexrolemale,roleundetermined,2.79 (1.02-7.60)
healthcare_worker,Cox,sexrolemale,white,0.94 (0.37-2.36)
healthcare_worker,Cox,sexrolemale,simd,0.95 (0.80-1.12)
healthcare_worker,Cox,sexrolemale,como_count,1.11 (0.83-1.49)
healthcare_worker,Cox,sexrolemale,t2dm,1.99 (0.87-4.56)
healthcare_worker,Cox,sexrolemale,nurs_med_ahp,0.84 (0.46-1.52)
healthcare_worker,Cox,sexrolemale,part_timep,0.89 (0.47-1.71)
healthcare_worker,Cox,sexrolemale,part_timegeneral practice,0.63 (0.20-2.05)
healthcare_worker,Cox,sexrolefemale,ps(age10)3,0.71 (0.40-1.25)
healthcare_worker,Cox,sexrolefemale,ps(age10)4,0.50 (0.16-1.56)
healthcare_worker,Cox,sexrolefemale,ps(age10)5,0.38 (0.07-2.00)
healthcare_worker,Cox,sexrolefemale,ps(age10)6,0.39 (0.06-2.68)
healthcare_worker,Cox,sexrolefemale,ps(age10)7,0.53 (0.07-3.69)
healthcare_worker,Cox,sexrolefemale,ps(age10)8,0.77 (0.12-5.05)
healthcare_worker,Cox,sexrolefemale,ps(age10)9,0.99 (0.16-6.18)
healthcare_worker,Cox,sexrolefemale,ps(age10)10,1.18 (0.19-7.18)
healthcare_worker,Cox,sexrolefemale,ps(age10)11,1.40 (0.23-8.61)
healthcare_worker,Cox,sexrolefemale,ps(age10)12,1.39 (0.22-8.71)
healthcare_worker,Cox,sexrolefemale,ps(age10)13,1.24 (0.18-8.43)
healthcare_worker,Cox,sexrolefemale,ps(age10)14,1.08 (0.13-8.67)
healthcare_worker,Cox,sexrolefemale,rolepf_any,2.27 (1.04-4.96)
healthcare_worker,Cox,sexrolefemale,roleundetermined,1.10 (0.56-2.16)
healthcare_worker,Cox,sexrolefemale,white,1.86 (0.46-7.59)
healthcare_worker,Cox,sexrolefemale,simd,0.78 (0.69-0.88)
healthcare_worker,Cox,sexrolefemale,como_count,1.29 (1.04-1.61)
healthcare_worker,Cox,sexrolefemale,t2dm,2.21 (1.13-4.32)
healthcare_worker,Cox,sexrolefemale,nurs_med_ahp,1.53 (0.78-2.99)
healthcare_worker,Cox,sexrolefemale,part_timep,0.75 (0.54-1.02)
healthcare_worker,Cox,sexrolefemale,part_timegeneral practice,0.24 (0.03-1.74)
healthcare_worker,Cox,subrole,ps(age10)3,0.70 (0.18-2.76)
healthcare_worker,Cox,subrole,ps(age10)4,0.49 (0.05-4.72)
healthcare_worker,Cox,subrole,ps(age10)5,0.37 (0.03-5.40)
healthcare_worker,Cox,subrole,ps(age10)6,0.40 (0.03-6.25)
healthcare_worker,Cox,subrole,ps(age10)7,0.64 (0.04-9.43)
healthcare_worker,Cox,subrole,ps(age10)8,1.10 (0.08-15.54)
healthcare_worker,Cox,subrole,ps(age10)9,1.39 (0.10-19.31)
healthcare_worker,Cox,subrole,ps(age10)10,1.27 (0.09-17.66)
healthcare_worker,Cox,subrole,ps(age10)11,1.35 (0.10-18.80)
healthcare_worker,Cox,subrole,ps(age10)12,1.67 (0.12-23.39)
healthcare_worker,Cox,subrole,ps(age10)13,1.89 (0.13-27.92)
healthcare_worker,Cox,subrole,ps(age10)14,2.05 (0.10-40.87)
healthcare_worker,Cox,subrole,male,1.41 (0.98-2.04)
healthcare_worker,Cox,subrole,role_subpf_front,2.09 (1.49-2.94)
healthcare_worker,Cox,subrole,role_subpf_resp_oro_agp,1.91 (0.90-4.07)
healthcare_worker,Cox,subrole,role_subpf_icu,1.22 (0.29-5.09)
healthcare_worker,Cox,subrole,white,0.96 (0.44-2.06)
healthcare_worker,Cox,subrole,simd,0.86 (0.77-0.96)
healthcare_worker,Cox,subrole,como_count,1.22 (0.96-1.55)
healthcare_worker,Cox,subrole,t2dm,2.25 (1.23-4.12)
healthcare_worker,Cox,subrole,nurs_med_ahp,1.08 (0.57-2.03)
healthcare_worker,Cox,subrole,part_timep,0.69 (0.50-0.97)
healthcare_worker,Cox,subrole,part_timegeneral practice,0.31 (0.11-0.87)
healthcare_worker,conditional_logistic_regression,agesex,rolepopulation,0.92 (0.59-1.42)
healthcare_worker,conditional_logistic_regression,ethnicsimd,rolepopulation,0.90 (0.58-1.40)
healthcare_worker,conditional_logistic_regression,ethnicsimd,white,1.47 (0.86-2.50)
healthcare_worker,conditional_logistic_regression,ethnicsimd,simd,0.87 (0.83-0.91)
healthcare_worker,conditional_logistic_regression,como,rolepopulation,0.81 (0.52-1.26)
healthcare_worker,conditional_logistic_regression,como,white,1.70 (1.00-2.92)
healthcare_worker,conditional_logistic_regression,como,simd,0.91 (0.87-0.95)
healthcare_worker,conditional_logistic_regression,como,como_count,1.76 (1.68-1.84)
household_member,Cox,agesex,ps(age10)3,1.02 (0.37-2.82)
household_member,Cox,agesex,ps(age10)4,1.13 (0.17-7.70)
household_member,Cox,agesex,ps(age10)5,1.60 (0.14-18.16)
household_member,Cox,agesex,ps(age10)6,3.15 (0.24-40.75)
household_member,Cox,agesex,ps(age10)7,8.41 (0.68-103.66)
household_member,Cox,agesex,ps(age10)8,21.21 (1.84-245.13)
household_member,Cox,agesex,ps(age10)9,33.21 (2.92-378.18)
household_member,Cox,agesex,ps(age10)10,33.08 (2.88-380.55)
household_member,Cox,agesex,ps(age10)11,37.48 (3.17-442.90)
household_member,Cox,agesex,ps(age10)12,46.35 (3.62-593.22)
household_member,Cox,agesex,ps(age10)13,51.36 (3.55-742.60)
household_member,Cox,agesex,ps(age10)14,55.87 (3.25-959.51)
household_member,Cox,agesex,male,2.06 (1.35-3.13)
household_member,Cox,agesex,rolepf_any,1.81 (1.11-2.94)
household_member,Cox,agesex,roleundetermined,1.68 (0.95-2.95)
household_member,Cox,agesex_kids,ps(age10)3,0.02 (0.00-0.08)
household_member,Cox,agesex_kids,ps(age10)4,0.00 (0.00-0.01)
household_member,Cox,agesex_kids,ps(age10)5,0.00 (0.00-0.00)
household_member,Cox,agesex_kids,ps(age10)6,0.00 (0.00-0.00)
household_member,Cox,agesex_kids,ps(age10)7,0.00 (0.00-0.00)
household_member,Cox,agesex_kids,ps(age10)8,0.00 (0.00-0.03)
household_member,Cox,agesex_kids,ps(age10)9,0.01 (0.00-0.21)
household_member,Cox,agesex_kids,ps(age10)10,0.00 (0.00-0.10)
household_member,Cox,agesex_kids,ps(age10)11,0.00 (0.00-0.14)
household_member,Cox,agesex_kids,ps(age10)12,0.00 (0.00-0.06)
household_member,Cox,agesex_kids,ps(age10)13,0.00 (0.00-0.01)
household_member,Cox,agesex_kids,ps(age10)14,0.00 (0.00-0.00)
household_member,Cox,agesex_kids,male,3.80 (0.44-32.73)
household_member,Cox,agesex_kids,rolepf_any,0.36 (0.06-2.15)
household_member,Cox,agesex_kids,roleundetermined, NA ( NA- NA)
household_member,Cox,agesex_gt65,ps(age10)3,2.07 (0.58-7.43)
household_member,Cox,agesex_gt65,ps(age10)4,4.04 (0.38-43.41)
household_member,Cox,agesex_gt65,ps(age10)5,4.35 (0.32-59.32)
household_member,Cox,agesex_gt65,ps(age10)6,4.03 (0.34-47.78)
household_member,Cox,agesex_gt65,ps(age10)7,4.66 (0.41-52.47)
household_member,Cox,agesex_gt65,ps(age10)8,5.36 (0.53-54.04)
household_member,Cox,agesex_gt65,ps(age10)9,9.44 (0.85-105.32)
household_member,Cox,agesex_gt65,ps(age10)10,12.17 (0.99-149.71)
household_member,Cox,agesex_gt65,ps(age10)11,6.66 (0.54-82.38)
household_member,Cox,agesex_gt65,ps(age10)12,2.24 (0.20-25.69)
household_member,Cox,agesex_gt65,ps(age10)13,0.69 (0.06-8.00)
household_member,Cox,agesex_gt65,ps(age10)14,0.21 (0.02-2.79)
household_member,Cox,agesex_gt65,male,1.60 (0.62-4.13)
household_member,Cox,agesex_gt65,rolepf_any,1.81 (0.54-6.06)
household_member,Cox,agesex_gt65,roleundetermined,1.42 (0.33-6.17)
household_member,Cox,ethnicsimd,ps(age10)3,1.01 (0.37-2.81)
household_member,Cox,ethnicsimd,ps(age10)4,1.11 (0.16-7.64)
household_member,Cox,ethnicsimd,ps(age10)5,1.57 (0.14-17.92)
household_member,Cox,ethnicsimd,ps(age10)6,3.08 (0.24-40.15)
household_member,Cox,ethnicsimd,ps(age10)7,8.26 (0.66-102.59)
household_member,Cox,ethnicsimd,ps(age10)8,20.93 (1.80-243.80)
household_member,Cox,ethnicsimd,ps(age10)9,32.66 (2.84-375.31)
household_member,Cox,ethnicsimd,ps(age10)10,32.15 (2.77-373.40)
household_member,Cox,ethnicsimd,ps(age10)11,36.07 (3.02-430.53)
